content_id,tmdb_id,title,content_type,genres,primary_genre,release_date,vote_average,vote_count,popularity,original_language,overview,runtime_minutes
TMDB_M_1523145,1523145,Your Heart Will Be Broken,movie,Romance|Drama,Romance,2026-03-26,6.8,55,862.6643,ru,"High school student Polina is saved from bullying at her new school and makes a deal with the main bully Bars: he must pretend to be her boyfriend and protect her, and she must do everything he says. ",161
TMDB_M_83533,83533,Avatar: Fire and Ash,movie,Science Fiction|Adventure|Fantasy,Science Fiction,2025-12-17,7.4,2490,363.2076,en,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by ",94
TMDB_M_1327819,1327819,Hoppers,movie,Animation|Family|Science Fiction|Comedy|Adventure,Animation,2026-03-04,7.567,436,351.8577,en,"Scientists have discovered how to 'hop' human consciousness into lifelike robotic animals, allowing people to communicate with animals as animals. Animal lover Mabel seizes an opportunity to use the t",83
TMDB_M_502356,502356,The Super Mario Bros. Movie,movie,Family|Comedy|Adventure|Fantasy|Animation,Family,2023-04-05,7.588,10461,295.6017,en,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are sepa",174
TMDB_M_1290821,1290821,Shelter,movie,Action|Crime|Thriller,Action,2026-01-28,6.8,513,266.8151,en,"A man living in self-imposed exile on a remote island rescues a young girl from a violent storm, setting off a chain of events that forces him out of seclusion to protect her from enemies tied to his ",115
TMDB_M_1171145,1171145,Crime 101,movie,Crime|Thriller,Crime,2026-02-11,7.038,602,234.3527,en,"When an elusive thief whose high-stakes heists unfold along the iconic 101 freeway in Los Angeles eyes the score of a lifetime, with hopes of this being his final job, his path collides with a disillu",111
TMDB_M_840464,840464,Greenland 2: Migration,movie,Adventure|Thriller|Science Fiction,Adventure,2026-01-07,6.495,836,220.0869,en,"Having found the safety of the Greenland bunker after the comet Clarke decimated the Earth, the Garrity family must now risk everything to embark on a perilous journey across the wasteland of Europe t",108
TMDB_M_1115544,1115544,Mike & Nick & Nick & Alice,movie,Comedy|Science Fiction|Crime,Comedy,2026-03-14,6.805,203,195.2408,en,"Two gangsters and the woman they love try to survive the most dangerous night of their lives. As if that wasn’t enough, there’s one wild ingredient added to the mix: a time machine.",97
TMDB_M_687163,687163,Project Hail Mary,movie,Science Fiction|Adventure,Science Fiction,2026-03-15,8.2,1230,207.0169,en,"Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the rid",174
TMDB_M_1297842,1297842,GOAT,movie,Animation|Comedy|Family,Animation,2026-02-11,7.8,362,204.2771,en,"A small goat with big dreams gets a once-in-a-lifetime shot to join the pros and play roarball, a high-intensity, co-ed, full-contact sport dominated by the fastest, fiercest animals in the world.",93
TMDB_M_1226863,1226863,The Super Mario Galaxy Movie,movie,Family|Comedy|Adventure|Fantasy|Animation,Family,2026-04-01,6.924,353,202.7486,en,"Having thwarted Bowser's previous plot to marry Princess Peach, Mario and Luigi now face a fresh threat in Bowser Jr., who is determined to liberate his father from captivity and restore the family le",166
TMDB_M_1641319,1641319,Sniper: No Nation,movie,Action|Thriller,Action,2026-04-07,5.7,17,194.5518,en,Brandon Beckett and Agent Zero lead a rescue mission in Venezuela when their friends are taken hostage.,174
TMDB_M_1265609,1265609,War Machine,movie,Action|Science Fiction|Thriller,Action,2026-02-12,7.24,1387,169.8356,en,"On one last grueling mission during Army Ranger training, a combat engineer must lead his unit in a fight against a giant otherworldly killing machine.",149
TMDB_M_1159831,1159831,The Bride!,movie,Science Fiction|Horror|Fantasy,Science Fiction,2026-03-04,6.318,272,178.0244,en,A lonely Frankenstein travels to 1930s Chicago to ask groundbreaking scientist Dr. Euphronious to create a companion for him. The two revive a murdered young woman and The Bride is born. But what ensu,91
TMDB_M_1084187,1084187,Pretty Lethal,movie,Music|Thriller|Action|Horror,Music,2026-03-13,6.849,242,161.6725,en,A troupe of ballerinas find themselves fighting for survival as they attempt to escape from a remote inn after their bus breaks down on the way to a dance competition.,155
TMDB_M_1268127,1268127,Humint,movie,Thriller|Action|Drama,Thriller,2026-02-11,7.356,73,169.0815,ko,A South Korean agent hunts a drug ring in Russia and goes head-to-head with a North Korean operative — pulling both into peril and tangled secrets.,134
TMDB_M_662707,662707,Starbright,movie,Adventure|Action,Adventure,2026-02-27,7.318,11,141.3707,en,"A young woman becomes the guardian of a fallen star, which she must protect from dangerous forces with the help of a brave stranger.",84
TMDB_M_1159559,1159559,Scream 7,movie,Horror|Mystery|Crime,Horror,2026-02-25,6.04,708,155.8202,en,"When a new Ghostface killer emerges in the quiet town where Sidney Prescott has built a new life, her darkest fears are realized as her daughter becomes the next target. Determined to protect her fami",83
TMDB_M_1470130,1470130,The Mortuary Assistant,movie,Horror|Mystery,Horror,2026-02-13,5.5,48,167.4074,en,"Rebecca Owens, a recent mortuary science graduate takes a night shift job at River Fields Mortuary. Initially, the job seems straightforward — embalming bodies, completing paperwork, and keeping thing",91
TMDB_M_615,615,The Passion of the Christ,movie,Drama,Drama,2004-02-25,7.5,5141,143.6801,en,A graphic portrayal of the last twelve hours of Jesus of Nazareth's life.,107
TMDB_M_1049471,1049471,Outcome,movie,Comedy|Drama,Comedy,2026-04-06,6.0,20,138.5648,en,"Reef Hawk, Hollywood's poster child since age six, is not okay. When he learns about an extortion plot tied to a mysterious video, Reef preemptively sets out on a redemption tour to make amends, confr",109
TMDB_M_848116,848116,Rocky Aur Rani Kii Prem Kahaani,movie,Comedy|Drama|Family|Romance,Comedy,2023-07-28,6.1,80,113.8906,hi,"Gym-freak brat Rocky falls in love with Rani, who comes from a well-educated Bengali family. Being from polar opposite worlds, the two decide to switch their families to adjust to each other's culture",144
TMDB_M_1419406,1419406,The Shadow's Edge,movie,Action|Crime|Drama|Thriller,Action,2025-08-16,7.231,558,126.298,zh,Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.,157
TMDB_M_1311031,1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,movie,Animation|Action|Fantasy,Animation,2025-07-18,7.669,783,128.6702,ja,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji beg",83
TMDB_M_1084242,1084242,Zootopia 2,movie,Animation|Family|Mystery|Adventure|Comedy,Animation,2025-11-26,7.601,2524,127.5006,en,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal me",151
