customer_id,event_type,event_date,plan_type,monthly_revenue,cancellation_reason
CUST_000000,subscribe,2024-11-30,standard,15.49,
CUST_000001,subscribe,2024-08-07,basic,9.99,
CUST_000001,upgrade,2024-10-24,standard,15.49,
CUST_000002,subscribe,2026-03-03,premium,22.99,
CUST_000003,subscribe,2025-04-20,standard,15.49,
CUST_000003,downgrade,2025-09-19,basic,9.99,
CUST_000004,subscribe,2025-07-19,basic,9.99,
CUST_000005,subscribe,2024-05-27,standard,15.49,
CUST_000006,subscribe,2026-02-14,premium,22.99,
CUST_000007,subscribe,2025-12-06,standard,15.49,
CUST_000008,subscribe,2024-04-12,basic,9.99,
CUST_000008,upgrade,2024-06-04,premium,22.99,
CUST_000008,cancel,2024-08-27,basic,0.0,switching_competitor
CUST_000009,subscribe,2025-03-29,basic,9.99,
CUST_000010,subscribe,2025-06-12,premium,22.99,
CUST_000011,subscribe,2024-05-10,standard,15.49,
CUST_000012,subscribe,2026-02-17,basic,9.99,
CUST_000012,cancel,2027-01-28,basic,0.0,personal_reasons
CUST_000013,subscribe,2024-07-09,basic,9.99,
CUST_000014,subscribe,2024-06-13,basic,9.99,
CUST_000014,downgrade,2024-11-04,basic,9.99,
CUST_000015,subscribe,2024-05-24,premium,22.99,
CUST_000016,subscribe,2024-10-25,basic,9.99,
CUST_000016,upgrade,2025-03-13,premium,22.99,
CUST_000017,subscribe,2025-10-23,standard,15.49,
CUST_000018,subscribe,2025-07-23,premium,22.99,
CUST_000018,cancel,2026-01-12,premium,0.0,technical_issues
CUST_000019,subscribe,2025-07-05,standard,15.49,
CUST_000019,downgrade,2025-10-25,basic,9.99,
CUST_000020,subscribe,2025-03-13,premium,22.99,
CUST_000021,subscribe,2025-04-01,standard,15.49,
CUST_000022,subscribe,2025-10-28,standard,15.49,
CUST_000023,subscribe,2026-01-04,standard,15.49,
CUST_000023,cancel,2026-05-19,standard,0.0,switching_competitor
CUST_000024,subscribe,2024-06-04,standard,15.49,
CUST_000025,subscribe,2025-10-24,standard,15.49,
CUST_000026,subscribe,2025-01-28,standard,15.49,
CUST_000027,subscribe,2024-07-21,standard,15.49,
CUST_000027,downgrade,2024-11-06,basic,9.99,
CUST_000028,subscribe,2024-04-20,basic,9.99,
CUST_000029,subscribe,2026-02-01,basic,9.99,
CUST_000030,subscribe,2026-01-03,premium,22.99,
CUST_000030,cancel,2026-12-04,premium,0.0,not_enough_content
CUST_000031,subscribe,2025-06-06,premium,22.99,
CUST_000032,subscribe,2025-06-07,standard,15.49,
CUST_000033,subscribe,2024-04-28,standard,15.49,
CUST_000034,subscribe,2024-10-02,standard,15.49,
CUST_000034,downgrade,2025-02-07,standard,15.49,
CUST_000035,subscribe,2024-08-19,basic,9.99,
CUST_000035,upgrade,2024-10-01,premium,22.99,
CUST_000036,subscribe,2024-06-08,premium,22.99,
CUST_000036,cancel,2024-12-09,premium,0.0,technical_issues
CUST_000037,subscribe,2024-08-26,standard,15.49,
CUST_000038,subscribe,2025-03-06,standard,15.49,
CUST_000039,subscribe,2025-01-05,basic,9.99,
CUST_000039,upgrade,2025-02-15,standard,15.49,
CUST_000040,subscribe,2025-12-30,premium,22.99,
CUST_000041,subscribe,2024-08-01,basic,9.99,
CUST_000041,downgrade,2024-10-26,basic,9.99,
CUST_000042,subscribe,2025-07-02,basic,9.99,
CUST_000043,subscribe,2024-12-16,premium,22.99,
