ticket_id,customer_id,category,channel,created_at,resolution_time_hours,is_resolved,sentiment_score
TKT_1FDF306F,CUST_000084,account,chat,2026-03-13 08:47:13,46.8,True,-0.49
TKT_566C63DC,CUST_000984,content,chat,2025-10-24 14:52:37,51.0,True,0.8
TKT_3F1837F1,CUST_000891,technical,chat,2026-01-23 05:21:55,10.0,True,0.48
TKT_66589C05,CUST_000277,technical,email,2026-03-05 12:46:06,70.1,True,-0.63
TKT_51E525AA,CUST_000902,content,email,2025-03-13 03:14:56,20.1,False,0.46
TKT_14F42FC1,CUST_000254,account,phone,2025-11-15 15:31:37,31.5,True,0.19
TKT_BC357D2E,CUST_000302,technical,phone,2024-11-27 04:42:26,63.1,True,0.88
TKT_68F202C9,CUST_000347,content,email,2026-03-26 18:38:30,29.1,True,0.86
TKT_4B7B5356,CUST_000512,technical,phone,2025-10-16 05:51:18,26.5,True,0.54
TKT_8BCFC285,CUST_000600,account,phone,2024-12-22 11:56:02,10.0,True,0.61
TKT_38B9468D,CUST_000963,content,email,2026-04-08 06:05:09,22.1,True,-0.36
TKT_80DE9F44,CUST_000049,billing,chat,2026-04-02 11:34:12,57.5,True,0.01
TKT_B89FE360,CUST_000677,billing,email,2026-02-27 08:14:34,29.9,True,0.15
TKT_66835F06,CUST_000059,billing,phone,2026-02-26 03:39:06,56.7,True,-0.73
TKT_84267252,CUST_000199,billing,chat,2025-12-29 12:41:14,11.5,True,0.55
TKT_8BE59FAF,CUST_000753,account,phone,2025-09-27 10:43:42,56.1,True,-0.57
TKT_A91C37FE,CUST_000383,account,phone,2025-07-29 04:42:28,7.6,True,-0.76
TKT_7990CF01,CUST_000164,account,email,2024-08-22 12:47:44,2.0,True,-0.92
TKT_C8207C61,CUST_000595,technical,email,2026-02-23 01:57:23,37.0,True,0.07
TKT_69922F1F,CUST_000333,billing,phone,2026-04-06 01:49:53,43.6,True,-0.95
TKT_8F33E161,CUST_000900,billing,phone,2026-01-10 19:08:26,34.4,True,-0.13
TKT_C8A90F67,CUST_000310,account,chat,2026-02-27 11:10:06,26.2,True,-0.95
TKT_4C82F6CE,CUST_000562,content,phone,2026-03-05 11:54:40,2.7,True,0.34
TKT_1CEC9879,CUST_000817,billing,chat,2026-02-26 22:42:29,47.0,True,-0.57
TKT_8D09DD5F,CUST_000361,content,email,2025-12-31 04:13:09,24.0,True,0.47
TKT_4376BC31,CUST_000925,billing,phone,2025-10-19 13:30:12,66.6,True,-0.13
TKT_BD8810D9,CUST_000783,account,phone,2026-02-27 10:45:56,32.0,True,0.66
TKT_2A978E93,CUST_000140,technical,phone,2026-01-17 04:32:41,1.2,True,-0.94
TKT_6DC241B6,CUST_000410,content,phone,2025-12-28 20:38:04,13.1,True,0.33
TKT_0E3A549B,CUST_000451,account,email,2026-03-20 21:59:20,4.9,True,0.89
TKT_4BA74C42,CUST_000389,account,email,2026-03-02 09:16:29,59.9,True,0.47
TKT_C9742DAC,CUST_000304,account,email,2025-09-09 06:21:10,47.2,True,0.62
TKT_1C91CFAE,CUST_000008,billing,phone,2024-09-07 22:01:04,29.5,True,0.56
TKT_E14ADB69,CUST_000047,account,chat,2026-03-18 18:08:08,53.7,True,-0.24
TKT_4D253EFF,CUST_000108,account,email,2026-03-06 07:45:20,69.8,True,-1.0
TKT_4D0AEC94,CUST_000507,billing,email,2024-12-30 18:09:49,63.3,True,0.66
TKT_DFB8EE75,CUST_000654,content,phone,2024-12-21 17:40:24,40.5,True,0.1
TKT_4732503D,CUST_000331,billing,phone,2026-03-09 10:23:28,24.4,True,-0.35
TKT_C9AA5A11,CUST_000704,content,phone,2026-04-08 06:57:57,69.1,True,0.01
TKT_2717664A,CUST_000458,account,chat,2026-01-16 11:28:02,22.0,True,0.71
TKT_5CD2D522,CUST_000196,technical,email,2026-03-03 20:30:48,5.4,True,-0.5
TKT_86E0D5D3,CUST_000209,account,phone,2025-10-29 15:36:03,22.2,True,0.31
TKT_2EC82E4D,CUST_000770,account,phone,2025-01-21 12:35:49,54.6,True,0.78
TKT_62E6F080,CUST_000824,technical,phone,2025-08-14 10:47:07,0.9,True,0.91
TKT_7A3E1735,CUST_000320,content,chat,2025-03-28 21:41:26,26.2,False,-0.78
TKT_F43E3272,CUST_000659,account,email,2025-05-22 00:39:34,66.4,True,-0.54
TKT_15A5738C,CUST_000089,technical,phone,2025-10-07 00:04:01,31.1,True,0.43
TKT_92F10C50,CUST_000909,account,email,2025-06-05 11:01:08,21.7,True,-0.65
