rating_id,customer_id,content_id,rating,rated_at
RAT_0000001,CUST_000000,TMDB_M_1015606,5,2026-03-12
RAT_0000002,CUST_000000,TMDB_M_1087891,1,2026-03-10
RAT_0000003,CUST_000000,TMDB_M_1368166,3,2026-02-26
RAT_0000004,CUST_000000,TMDB_M_1403735,2,2025-09-20
RAT_0000005,CUST_000000,TMDB_M_1646787,2,2026-03-23
RAT_0000006,CUST_000000,TMDB_M_228150,4,2026-02-24
RAT_0000007,CUST_000000,TMDB_M_28322,4,2026-02-07
RAT_0000008,CUST_000000,TMDB_M_324857,4,2026-03-05
RAT_0000009,CUST_000000,TMDB_M_350,3,2026-04-10
RAT_0000010,CUST_000000,TMDB_M_680493,3,2026-04-04
RAT_0000011,CUST_000000,TMDB_M_840464,1,2026-04-09
RAT_0000012,CUST_000000,TMDB_M_857,4,2026-03-08
RAT_0000013,CUST_000000,TMDB_M_912649,4,2026-02-24
RAT_0000014,CUST_000000,TMDB_M_936075,1,2025-11-23
RAT_0000015,CUST_000000,TMDB_T_124364,3,2025-12-23
RAT_0000016,CUST_000000,TMDB_T_127529,3,2025-10-05
RAT_0000017,CUST_000000,TMDB_T_1668,3,2026-02-23
RAT_0000018,CUST_000000,TMDB_T_279388,5,2025-11-09
RAT_0000019,CUST_000000,TMDB_T_33238,2,2025-10-22
RAT_0000020,CUST_000000,TMDB_T_693,1,2025-11-03
RAT_0000021,CUST_000001,TMDB_M_1020969,1,2026-01-06
RAT_0000022,CUST_000001,TMDB_M_1268127,3,2025-11-06
RAT_0000023,CUST_000001,TMDB_M_1327819,3,2026-01-30
RAT_0000024,CUST_000001,TMDB_M_414906,3,2026-02-18
RAT_0000025,CUST_000001,TMDB_M_502356,2,2026-01-06
RAT_0000026,CUST_000001,TMDB_M_82690,2,2026-03-24
RAT_0000027,CUST_000001,TMDB_M_876566,2,2026-01-13
RAT_0000028,CUST_000001,TMDB_M_941109,3,2026-04-09
RAT_0000029,CUST_000001,TMDB_T_17610,1,2026-03-22
RAT_0000030,CUST_000001,TMDB_T_1911,4,2026-02-19
RAT_0000031,CUST_000001,TMDB_T_291,3,2026-03-14
RAT_0000032,CUST_000001,TMDB_T_549,4,2026-02-19
RAT_0000033,CUST_000001,TMDB_T_74561,1,2026-03-30
RAT_0000034,CUST_000002,TMDB_M_1058710,4,2025-04-08
RAT_0000035,CUST_000002,TMDB_M_1252037,2,2026-03-17
RAT_0000036,CUST_000002,TMDB_M_1276038,4,2025-07-01
RAT_0000037,CUST_000002,TMDB_M_1290821,2,2025-12-20
RAT_0000038,CUST_000002,TMDB_M_1317149,2,2025-11-15
RAT_0000039,CUST_000002,TMDB_M_1426297,2,2026-01-24
RAT_0000040,CUST_000002,TMDB_M_1634301,4,2025-07-28
RAT_0000041,CUST_000002,TMDB_M_396535,3,2026-02-10
RAT_0000042,CUST_000002,TMDB_M_475557,3,2025-06-08
RAT_0000043,CUST_000002,TMDB_M_687259,3,2025-05-17
RAT_0000044,CUST_000002,TMDB_T_1911,1,2026-03-02
RAT_0000045,CUST_000002,TMDB_T_1973,3,2026-01-23
RAT_0000046,CUST_000002,TMDB_T_2224,4,2026-04-04
RAT_0000047,CUST_000002,TMDB_T_32692,3,2025-03-06
RAT_0000048,CUST_000002,TMDB_T_4177,1,2025-09-15
RAT_0000049,CUST_000002,TMDB_T_60059,4,2025-08-20
RAT_0000050,CUST_000002,TMDB_T_65733,3,2026-01-23
RAT_0000051,CUST_000003,TMDB_M_1020969,3,2024-08-10
RAT_0000052,CUST_000003,TMDB_M_1175942,2,2024-08-12
RAT_0000053,CUST_000003,TMDB_M_121,3,2024-07-17
RAT_0000054,CUST_000003,TMDB_M_122,1,2024-05-22
RAT_0000055,CUST_000003,TMDB_M_128,3,2024-07-08
RAT_0000056,CUST_000003,TMDB_M_177572,1,2024-08-06
RAT_0000057,CUST_000003,TMDB_M_20352,3,2024-08-14
RAT_0000058,CUST_000003,TMDB_M_412117,4,2024-08-09
RAT_0000059,CUST_000003,TMDB_M_552524,1,2024-07-24
RAT_0000060,CUST_000003,TMDB_M_674,3,2024-06-24
