watchlist_id,customer_id,content_id,added_at,is_watched
WL_0000001,CUST_000000,TVS_00154,2025-06-08,False
WL_0000002,CUST_000000,MOV_00423,2025-08-18,True
WL_0000003,CUST_000000,MOV_00292,2025-05-16,False
WL_0000004,CUST_000000,MOV_00482,2026-04-06,True
WL_0000005,CUST_000000,MOV_00449,2025-08-04,True
WL_0000006,CUST_000000,MOV_00066,2025-01-01,True
WL_0000007,CUST_000000,TVS_00177,2026-03-16,False
WL_0000008,CUST_000000,TVS_00199,2025-11-17,False
WL_0000009,CUST_000000,TVS_00158,2025-01-19,True
WL_0000010,CUST_000000,MOV_00415,2026-04-09,False
WL_0000011,CUST_000000,MOV_00178,2025-03-01,False
WL_0000012,CUST_000000,MOV_00341,2025-10-09,True
WL_0000013,CUST_000000,MOV_00209,2026-01-13,True
WL_0000014,CUST_000000,TVS_00154,2026-03-27,False
WL_0000015,CUST_000000,MOV_00053,2024-12-09,True
WL_0000016,CUST_000001,MOV_00153,2025-04-24,True
WL_0000017,CUST_000001,MOV_00148,2025-04-05,False
WL_0000018,CUST_000001,MOV_00423,2025-08-04,False
WL_0000019,CUST_000001,TVS_00129,2024-12-13,True
WL_0000020,CUST_000001,MOV_00408,2025-06-19,True
WL_0000021,CUST_000001,TVS_00158,2024-09-01,False
WL_0000022,CUST_000001,MOV_00036,2024-08-11,False
WL_0000023,CUST_000001,TVS_00062,2025-02-27,True
WL_0000024,CUST_000001,MOV_00159,2025-10-04,True
WL_0000025,CUST_000001,MOV_00062,2025-10-21,True
WL_0000026,CUST_000001,MOV_00163,2025-02-12,True
WL_0000027,CUST_000001,MOV_00174,2025-03-27,True
WL_0000028,CUST_000001,TVS_00199,2025-01-28,True
WL_0000029,CUST_000001,MOV_00436,2025-06-08,False
WL_0000030,CUST_000001,TVS_00037,2025-06-21,True
WL_0000031,CUST_000001,MOV_00331,2024-10-05,True
WL_0000032,CUST_000001,TVS_00101,2025-11-04,True
WL_0000033,CUST_000001,MOV_00496,2025-08-08,False
WL_0000034,CUST_000002,TVS_00036,2026-04-07,False
WL_0000035,CUST_000002,MOV_00422,2026-04-04,False
WL_0000036,CUST_000002,MOV_00424,2026-03-29,True
WL_0000037,CUST_000002,MOV_00412,2026-03-31,False
WL_0000038,CUST_000002,TVS_00146,2026-03-31,False
WL_0000039,CUST_000002,MOV_00057,2026-03-27,True
WL_0000040,CUST_000002,MOV_00112,2026-04-04,False
WL_0000041,CUST_000002,MOV_00128,2026-04-11,True
