watch_event_id,customer_id,content_id,watch_date,watch_start_time,watch_duration_minutes,completion_percentage,device_type,session_id,is_resumed
WE_00000001,CUST_000000,TMDB_T_48866,2025-12-10,14:19:00,22,0.38,gaming_console,SESS_0B3D6DC9,False
WE_00000002,CUST_000000,TMDB_M_128,2026-03-22,19:02:00,32,0.37,gaming_console,SESS_55CF37BA,True
WE_00000003,CUST_000000,TMDB_T_279388,2025-10-09,16:21:00,51,0.87,gaming_console,SESS_DCD81A8B,False
WE_00000004,CUST_000000,TMDB_T_2316,2026-01-24,18:53:00,17,0.39,mobile,SESS_2504FD28,True
WE_00000005,CUST_000000,TMDB_M_38,2026-01-25,11:27:00,91,0.52,gaming_console,SESS_0D22AF35,False
WE_00000006,CUST_000000,TMDB_T_65733,2026-02-28,18:53:00,15,0.3,gaming_console,SESS_BAEBE15D,False
WE_00000007,CUST_000000,TMDB_M_976573,2026-04-22,19:00:00,17,0.18,gaming_console,SESS_49ED856E,False
WE_00000008,CUST_000000,TMDB_T_73586,2026-01-29,20:40:00,10,0.22,gaming_console,SESS_E606D7C2,False
WE_00000009,CUST_000000,TMDB_M_812,2025-11-30,14:42:00,42,0.36,desktop,SESS_00E78824,True
WE_00000010,CUST_000000,TMDB_M_350,2025-09-21,09:07:00,123,0.7,gaming_console,SESS_03200C4E,False
WE_00000011,CUST_000000,TMDB_M_1022787,2026-01-30,08:31:00,35,0.41,gaming_console,SESS_7FA70485,False
WE_00000012,CUST_000000,TMDB_M_350,2026-04-21,06:26:00,46,0.26,gaming_console,SESS_9BA4D5A6,True
WE_00000013,CUST_000000,TMDB_M_1003596,2026-02-07,20:51:00,158,0.91,gaming_console,SESS_37850B5C,False
WE_00000014,CUST_000000,TMDB_T_30981,2025-11-15,07:07:00,22,0.65,gaming_console,SESS_74283491,False
WE_00000015,CUST_000000,TMDB_M_429,2025-11-27,09:12:00,101,0.62,gaming_console,SESS_99E95433,False
WE_00000016,CUST_000000,TMDB_M_1575337,2026-01-15,12:01:00,136,0.89,gaming_console,SESS_E1D5C0DC,False
WE_00000017,CUST_000000,TMDB_M_1022787,2025-10-26,08:22:00,68,0.42,gaming_console,SESS_A0EE404F,False
WE_00000018,CUST_000000,TMDB_M_604079,2026-02-13,12:16:00,52,0.31,gaming_console,SESS_3527BCEE,False
WE_00000019,CUST_000000,TMDB_M_840464,2026-02-22,15:10:00,42,0.39,smart_tv,SESS_0E18AB96,False
WE_00000020,CUST_000000,TMDB_M_604079,2026-03-03,16:39:00,57,0.34,gaming_console,SESS_253741E4,True
WE_00000021,CUST_000000,TMDB_T_202411,2025-12-07,11:56:00,44,0.92,desktop,SESS_93FDE248,True
WE_00000022,CUST_000000,TMDB_M_335984,2026-01-08,17:25:00,63,0.68,gaming_console,SESS_54C3B22E,True
WE_00000023,CUST_000000,TMDB_T_1705,2025-10-16,13:04:00,15,0.54,gaming_console,SESS_1BE00F8E,False
WE_00000024,CUST_000000,TMDB_T_4604,2025-12-04,16:13:00,11,0.21,gaming_console,SESS_294D43ED,False
WE_00000025,CUST_000000,TMDB_T_31910,2026-03-22,12:33:00,7,0.13,gaming_console,SESS_A9325AE1,False
WE_00000026,CUST_000000,TMDB_T_73586,2026-01-21,16:12:00,34,0.75,gaming_console,SESS_92811C92,False
WE_00000027,CUST_000000,TMDB_T_73586,2026-03-24,11:38:00,12,0.27,gaming_console,SESS_F75EFED8,False
WE_00000028,CUST_000000,TMDB_T_73586,2025-12-07,06:58:00,9,0.21,gaming_console,SESS_5C3552B3,False
WE_00000029,CUST_000000,TMDB_T_33238,2025-10-03,07:21:00,23,0.52,gaming_console,SESS_C4BD338E,False
WE_00000030,CUST_000000,TMDB_M_969681,2025-09-17,08:35:00,47,0.42,desktop,SESS_E5C482FF,False
WE_00000031,CUST_000000,TMDB_M_969681,2026-01-04,09:53:00,85,0.76,gaming_console,SESS_C2294116,False
WE_00000032,CUST_000000,TMDB_M_1167307,2026-02-05,16:55:00,141,0.86,gaming_console,SESS_109EFB40,False
WE_00000033,CUST_000000,TMDB_M_429,2025-12-20,06:59:00,127,0.78,gaming_console,SESS_1F3CEA1D,False
WE_00000034,CUST_000000,TMDB_M_429,2025-09-13,14:21:00,39,0.24,gaming_console,SESS_54470290,False
WE_00000035,CUST_000000,TMDB_T_202411,2026-03-21,10:37:00,10,0.21,gaming_console,SESS_35B86D0A,False
WE_00000036,CUST_000000,TMDB_T_45790,2025-10-02,20:42:00,36,0.91,desktop,SESS_0EE52F63,True
WE_00000037,CUST_000000,TMDB_M_335983,2026-03-27,21:14:00,78,0.49,gaming_console,SESS_FAB6AD91,True
WE_00000038,CUST_000000,TMDB_M_83533,2026-02-25,12:44:00,22,0.24,mobile,SESS_16718639,True
WE_00000039,CUST_000000,TMDB_M_429,2026-03-23,21:06:00,47,0.29,gaming_console,SESS_9AD2BB72,False
WE_00000040,CUST_000000,TMDB_T_790,2026-04-04,15:45:00,14,0.31,gaming_console,SESS_B4F136FC,False
WE_00000041,CUST_000000,TMDB_T_60625,2026-02-07,17:24:00,8,0.28,gaming_console,SESS_D90949AA,False
